t, omega, theta, x, y
2.35, 72.0, 75.6, 0.01616484266571557, 0.06295790547336103
2.36, 72.0, 76.31999999999996, 0.015372434806542152, 0.0631560626394538
2.37, 72.0, 77.03999999999999, 0.014577599461709789, 0.06334424673112751
2.38, 72.0, 77.75999999999999, 0.013780462144933558, 0.06352242803193257
2.39, 72.0, 78.47999999999999, 0.01298114873343647, 0.06369057840497605
2.4, 72.0, 79.19999999999999, 0.012179785448072121, 0.06384867129736477
2.41, 72.0, 79.91999999999999, 0.011376498833392958, 0.06399668174439835
2.42, 72.0, 80.63999999999999, 0.010571415737667456, 0.06413458637351142
2.43, 72.0, 81.35999999999999, 0.009764663292849224, 0.06426236340796442
2.44, 72.0, 82.07999999999998, 0.008956368894501496, 0.06437999267028233
2.45, 72.0, 82.80000000000001, 0.008146660181679763, 0.06448745558544107
2.46, 72.0, 83.51999999999998, 0.007335665016776333, 0.06458473518380055
2.47, 72.0, 84.24000000000001, 0.006523511465328955, 0.06467181610378452
2.48, 72.0, 84.95999999999998, 0.00571032777579833, 0.0647486845943062
2.49, 72.0, 85.68, 0.004896242359315615, 0.06481532851693991
2.5, 72.0, 86.39999999999998, 0.004081383769405394, 0.06487173734783766
2.5100000000000002, 72.0, 87.12, 0.003265880681685024, 0.06491790217939114
2.52, 72.0, 87.84, 0.0024498618735457407, 0.0649538157216383
2.5300000000000002, 72.0, 88.56, 0.0016334562038169396, 0.0649794723034145
2.54, 72.0, 89.28, 0.000816792592417916, 0.06499486787324806
2.5500000000000003, 72.0, 90.0, 3.980102097228898e-18, 0.065
2.56, 72.0, 90.72, -0.0008167925924179224, 0.06499486787324806
2.57, 72.0, 91.43999999999997, -0.0016334562038169025, 0.06497947230341451
2.58, 72.0, 92.16, -0.002449861873545733, 0.0649538157216383
2.59, 72.0, 92.87999999999997, -0.0032658806816849876, 0.06491790217939114
2.6, 72.0, 93.6, -0.004081383769405357, 0.06487173734783766
2.61, 72.0, 94.31999999999996, -0.004896242359315593, 0.06481532851693991
2.62, 72.0, 95.03999999999999, -0.005710327775798293, 0.06474868459430622
2.63, 72.0, 95.75999999999999, -0.006523511465328961, 0.06467181610378452
2.64, 72.0, 96.47999999999999, -0.0073356650167762955, 0.06458473518380055
2.65, 72.0, 97.19999999999999, -0.008146660181679755, 0.06448745558544107
2.66, 72.0, 97.91999999999999, -0.008956368894501458, 0.06437999267028234
2.67, 72.0, 98.63999999999999, -0.009764663292849186, 0.06426236340796442
2.68, 72.0, 99.35999999999999, -0.01057141573766742, 0.06413458637351144
2.69, 72.0, 100.07999999999998, -0.011376498833392921, 0.06399668174439836
2.7, 72.0, 100.80000000000001, -0.012179785448072114, 0.06384867129736477
2.71, 72.0, 101.51999999999998, -0.012981148733436434, 0.06369057840497605
2.72, 72.0, 102.24000000000001, -0.013780462144933564, 0.06352242803193257
2.73, 72.0, 102.95999999999998, -0.014577599461709754, 0.06334424673112753
2.74, 72.0, 103.68, -0.015372434806542115, 0.06315606263945381
2.75, 72.0, 104.39999999999998, -0.016164842665715537, 0.06295790547336103
2.7600000000000002, 72.0, 105.12, -0.016954697908843297, 0.0627498065241628
